DateTime,Entries,UniqueIPs
1499751938,840,840
1499753438,841,841
1499757042,837,837
1499758841,834,834
1499762736,819,819
1499766166,820,820
1499768729,820,820
1499771668,816,816
1499775044,813,813
1499778640,787,787
1499782541,759,759
1499787931,750,750
1499789442,741,741
1499793059,739,739
1499794237,736,736
1499795724,737,737
1499798618,737,737
1499800236,737,737
1499801438,738,738
1499802337,739,739
1499803840,737,737
1499805041,741,741
1499805939,744,744
1499807663,745,745
1499809351,746,746
1499811988,745,745
1499812949,736,736
1499813784,737,737
1499814632,723,723
1499816547,746,746
1499818473,784,784
1499819444,804,804
1499820146,817,817
1499820985,815,815
1499821836,815,815
1499823866,814,814
1499825022,812,812
1499827536,812,812
1499829265,839,839
1499830244,841,841
1499831586,868,868
1499833525,865,865
1499834555,862,862
1499835175,863,863
1499836468,864,864
1499837305,865,865
1499839645,856,856
1499841046,855,855
1499841939,857,857
1499842587,858,858
1499843437,850,850
1499845350,826,826
1499846564,812,812
1499848271,811,811
1499849139,810,810
1499850873,809,809
1499851712,812,812
1499852561,777,777
1499853756,770,770
1499854794,763,763
1499856032,752,752
1499856935,751,751
1499857838,749,749
1499858065,748,748
1499858906,746,746
1499859739,742,742
1499860586,740,740
1499861440,738,738
1499862639,731,731
1499867412,687,687
1499868643,680,680
1499869538,680,680
1499870436,680,680
1499871359,681,681
1499872239,680,680
1499873440,680,680
1499874154,684,684
1499876069,684,684
1499879197,683,683
1499880037,685,685
1499881009,681,681
1499882129,683,683
1499883036,680,680
1499884954,680,680
1499887845,678,678
1499890544,678,678
1499891443,679,679
1499892161,676,676
1499893838,658,658
1499895753,617,617
1499896585,618,618
1499897438,612,612
1499898638,610,610
1499899541,608,608
1499901039,576,576
1499902946,567,567
1499904641,567,567
1499905845,566,566
1499908239,566,566
1499910150,567,567
1499912077,566,566
1499913038,567,567
1499913936,555,555
1499914586,557,557
1499915435,509,509
1499917360,479,479
1499919277,474,474
1499920652,474,474
1499922536,475,475
1499923707,476,476
1499926245,477,477
1499927460,477,477
1499928343,478,478
1499929260,477,477
1499930884,478,478
1499931935,475,475
1499934043,477,477
1499935051,476,476
1499936187,476,476
1499937037,475,475
1499939021,474,474
1499940644,475,475
1499941592,476,476
1499942444,470,470
1499944241,469,469
1499946154,469,469
1499947634,467,467
1499949752,468,468
1499950860,464,464
1499951736,466,466
1499952640,466,466
1499953534,475,475
1499955037,489,489
1499955938,490,490
1499957136,488,488
1499958462,489,489
1499959842,491,491
1499960678,495,495
1499962465,497,497
1499963443,497,497
1499964146,498,498
1499965838,499,499
1499967750,509,509
1499969446,511,511
1499970300,513,513
1499971239,511,511
1499972310,511,511
1499973265,512,512
1499974638,511,511
1499975619,509,509
1499976641,509,509
1499977710,511,511
1499978740,511,511
1499980464,515,515
1499981436,512,512
1499982145,511,511
1499982986,513,513
1499984066,514,514
1499984906,516,516
1499985712,491,491
1499987665,460,460
1499988519,464,464
1499989490,400,400
1499990614,407,407
1499991640,412,412
1499992537,410,410
1499994637,417,417
1499995842,421,421
1499998466,402,402
1499999440,382,382
1500000925,360,360
1500001837,339,339
1500003757,339,339
1500004584,340,340
1500005670,340,340
1500006706,339,339
1500007352,340,340
1500008185,341,341
1500009037,343,343
1500010946,345,345
1500012620,344,344
1500013838,348,348
1500014737,349,349
1500018337,348,348
1500019841,347,347
1500020068,348,348
1500021057,344,344
1500022790,346,346
1500023736,346,346
1500024645,347,347
1500025537,346,346
1500026857,349,349
1500028257,345,345
1500029552,346,346
1500030638,344,344
1500031711,348,348
1500032733,347,347
1500033706,345,345
1500035448,345,345
1500038066,345,345
1500039046,344,344
1500039936,343,343
1500041674,344,344
1500042507,348,348
1500043484,342,342
1500045038,339,339
1500046105,344,344
1500047039,344,344
1500047790,345,345
1500048641,345,345
1500051352,345,345
1500052200,343,343
1500054145,340,340
1500054985,339,339
1500055838,337,337
1500057756,332,332
1500058593,333,333
1500061354,425,425
1500063337,490,490
1500064246,486,486
1500066109,485,485
1500068734,483,483
1500071273,484,484
1500072343,484,484
1500073841,484,484
1500075639,483,483
1500077440,483,483
1500079528,482,482
1500080354,484,484
1500081336,486,486
1500082106,487,487
1500083585,486,486
1500084640,485,485
1500088004,485,485
1500088835,486,486
1500089786,487,487
1500091842,486,486
1500096325,488,488
1500097346,487,487
1500099037,488,488
1500100952,489,489
1500102869,488,488
1500103793,486,486
1500104553,488,488
1500105385,489,489
1500106235,488,488
1500108155,488,488
1500110906,490,490
1500111934,484,484
1500113150,486,486
1500114046,489,489
1500115238,489,489
1500116188,490,490
1500117039,488,488
1500118945,486,486
1500119789,487,487
1500120866,486,486
1500121790,485,485
1500122691,484,484
1500123385,485,485
1500124236,473,473
1500125440,465,465
1500126325,466,466
1500127292,467,467
1500128137,468,468
1500129752,458,458
1500130584,460,460
1500131441,459,459
1500133356,456,456
1500135045,452,452
1500135926,454,454
1500136839,433,433
1500138639,437,437
1500140735,431,431
1500141555,431,431
1500142552,434,434
1500143312,435,435
1500144332,432,432
1500145838,435,435
1500147040,432,432
1500147932,430,430
1500148589,431,431
1500149437,430,430
1500150639,426,426
1500152125,426,426
1500153042,424,424
1500154007,425,425
1500155126,422,422
1500156637,423,423
1500157718,424,424
1500158732,418,418
1500159531,414,414
1500162334,408,408
1500163423,408,408
1500165746,401,401
1500167439,398,398
1500168617,395,395
1500169923,394,394
1500171037,394,394
1500173135,394,394
1500174635,391,391
1500175845,392,392
1500177325,394,394
1500178238,395,395
1500179212,397,397
1500180040,392,392
1500181411,393,393
1500182319,394,394
1500183745,394,394
1500185437,396,396
1500186640,395,395
1500187514,396,396
1500189029,395,395
1500190840,396,396
1500192634,397,397
1500193580,399,399
1500194444,399,399
1500195337,400,400
1500196478,401,401
1500197447,402,402
1500198337,403,403
1500199492,405,405
1500200445,406,406
1500201338,405,405
1500201756,404,404
1500203438,407,407
1500204510,408,408
1500205524,402,402
1500206552,402,402
1500207268,403,403
1500208246,401,401
1500209137,400,400
1500210641,405,405
1500211839,403,403
1500212739,409,409
1500214539,410,410
1500215598,403,403
1500217624,409,409
1500219276,411,411
1500221444,412,412
1500222509,414,414
1500225337,421,421
1500226106,422,422
1500227725,424,424
1500228643,424,424
1500230554,425,425
1500231385,426,426
1500232241,421,421
1500234147,416,416
1500236067,395,395
1500237644,311,311
1500239435,282,282
1500240505,282,282
1500241536,281,281
1500243926,276,276
1500246636,279,279
1500247691,282,282
1500248740,279,279
1500250236,277,277
1500251305,278,278
1500252327,277,277
1500253840,278,278
1500255042,280,280
1500257201,281,281
1500259826,278,278
1500261039,279,279
1500262946,281,281
1500264483,280,280
1500265851,279,279
1500266736,280,280
1500268048,278,278
1500270043,278,278
1500271650,276,276
1500273754,272,272
1500275364,273,273
1500277826,274,274
1500279045,276,276
1500280122,278,278
1500281716,277,277
1500282577,274,274
1500283527,275,275
1500284443,268,268
1500286241,268,268
1500287612,270,270
1500288994,272,272
1500289842,272,272
1500291045,271,271
1500291940,272,272
1500293437,273,273
1500295538,270,270
1500297574,274,274
1500298538,275,275
1500299518,276,276
1500300479,274,274
1500301405,279,279
1500302558,282,282
1500305075,283,283
1500306925,287,287
1500307844,286,286
1500309751,285,285
1500311108,288,288
1500312037,290,290
1500313239,290,290
1500315044,289,289
1500316107,291,291
1500317142,289,289
1500318646,291,291
1500319837,291,291
1500321750,294,294
1500323455,293,293
1500324338,294,294
1500325836,295,295
1500326725,296,296
1500327634,295,295
1500328523,297,297
1500329438,295,295
1500330287,296,296
1500333038,299,299
1500334105,303,303
1500334955,302,302
1500337834,301,301
1500338554,300,300
1500339562,301,301
1500340534,303,303
1500342038,302,302
1500342930,303,303
1500343778,304,304
1500345047,302,302
1500345937,301,301
1500347438,300,300
1500349346,299,299
1500350190,301,301
1500351042,299,299
1500351892,300,300
1500354565,295,295
1500356591,298,298
1500358241,299,299
1500359447,298,298
1500362144,298,298
1500363041,297,297
1500364126,296,296
1500364929,298,298
1500366915,294,294
1500367837,292,292
1500369038,288,288
1500370958,287,287
1500372446,289,289
1500373286,291,291
1500375341,285,285
1500376242,284,284
1500378206,283,283
1500379823,281,281
1500380912,282,282
1500381809,281,281
1500383439,275,275
1500385402,275,275
1500386812,268,268
1500387672,269,269
1500388700,270,270
1500390489,271,271
1500390867,273,273
1500391840,276,276
1500392735,276,276
1500394248,281,281
1500395313,283,283
1500396342,283,283
1500397134,281,281
1500398135,283,283
1500399043,281,281
1500399811,281,281
1500400587,283,283
1500401439,284,284
1500403555,281,281
1500404193,282,282
1500405039,280,280
1500405958,282,282
1500406892,279,279
1500408642,278,278
1500410605,276,276
1500412470,275,275
1500413393,276,276
1500414224,278,278
1500415434,275,275
1500416908,277,277
1500418413,271,271
1500419436,272,272
1500420641,270,270
1500422066,271,271
1500422963,270,270
1500424240,269,269
1500425084,271,271
1500425790,272,272
1500426637,271,271
1500427534,273,273
1500428484,272,272
1500429381,274,274
1500430471,273,273
1500431443,272,272
1500432412,273,273
1500432993,278,278
