DateTime,Entries,UniqueIPs
1499938815,561,561
1499939789,550,550
1499940755,548,548
1499941704,555,555
1499942671,554,554
1499943661,544,544
1499944571,536,536
1499945551,536,536
1499946502,527,527
1499947492,527,527
1499948432,521,521
1499949385,517,517
1499950331,513,513
1499951306,513,513
1499952253,511,511
1499953229,506,506
1499954187,508,508
1499955147,504,504
1499956114,497,497
1499957059,495,495
1499958535,473,473
1499959465,466,466
1499960435,473,473
1499961401,462,462
1499962357,461,461
1499963301,456,456
1499964268,454,454
1499965248,450,450
1499966203,447,447
1499967145,448,448
1499968122,451,451
1499969071,446,446
1499970030,447,447
1499971001,452,452
1499971942,450,450
1499973175,449,449
1499974107,450,450
1499975068,450,450
1499976105,463,463
1499977212,465,465
1499978188,465,465
1499979156,465,465
1499980105,464,464
1499981068,461,461
1499982036,462,462
1499983000,467,467
1499984570,472,472
1499985623,477,477
1499986593,481,481
1499987558,481,481
1499988510,480,480
1499989473,481,481
1499990469,479,479
1499991415,483,483
1499992360,484,484
1499993313,483,483
1499994284,491,491
1499995235,487,487
1499996184,485,485
1499997162,479,479
1499998104,478,478
1499999058,486,486
1500000024,485,485
1500000982,480,480
1500001953,478,478
1500002922,480,480
1500003866,478,478
1500004884,479,479
1500005812,485,485
1500006761,492,492
1500007716,492,492
1500008683,491,491
1500009642,502,502
1500010595,508,508
1500011547,514,514
1500012500,508,508
1500013466,505,505
1500014433,503,503
1500015398,506,506
1500016365,506,506
1500017307,515,515
1500018261,516,516
1500019271,513,513
1500020186,516,516
1500021155,520,520
1500022112,524,524
1500023086,526,526
1500024036,529,529
1500024996,529,529
1500025954,536,536
1500026895,535,535
1500027861,534,534
1500028836,538,538
1500030157,545,545
1500031225,542,542
1500032185,540,540
1500033153,543,543
1500034091,547,547
1500035080,556,556
1500036035,562,562
1500036994,566,566
1500037963,558,558
1500038905,551,551
1500039859,550,550
1500040945,552,552
1500042013,558,558
1500042987,566,566
1500043929,558,558
1500044898,564,564
1500045864,567,567
1500046847,564,564
1500047804,562,562
1500048765,563,563
1500049703,564,564
1500050681,563,563
1500051707,560,560
1500052972,560,560
1500054026,564,564
1500054978,568,568
1500055938,574,574
1500056906,569,569
1500057856,562,562
1500058889,555,555
1500059793,559,559
1500060756,565,565
1500061719,567,567
1500062673,573,573
1500063636,574,574
1500064592,578,578
1500065555,573,573
1500066501,579,579
1500067458,581,581
1500068414,591,591
1500069388,594,594
1500070437,603,603
1500071551,603,603
1500072493,623,623
1500073484,623,623
1500074448,632,632
1500075388,638,638
1500076358,652,652
1500077324,653,653
1500078265,659,659
1500079249,663,663
1500080190,671,671
1500081151,670,670
1500082121,668,668
1500083345,675,675
1500084282,672,672
1500085242,672,672
1500086193,672,672
1500087173,676,676
1500088126,678,678
1500089083,679,679
1500090038,683,683
1500091014,688,688
1500091973,686,686
1500092936,684,684
1500093862,683,683
1500094920,694,694
1500096031,707,707
1500097005,702,702
1500097951,701,701
1500098905,704,704
1500100120,703,703
1500101072,706,706
1500102045,707,707
1500103011,702,702
1500103963,701,701
1500104932,702,702
1500105890,701,701
1500106860,694,694
1500107808,695,695
1500108772,678,678
1500109732,666,666
1500110704,668,668
1500111630,671,671
1500113107,669,669
1500114037,671,671
1500114998,667,667
1500115962,657,657
1500116908,646,646
1500117861,633,633
1500118837,627,627
1500119789,619,619
1500120764,614,614
1500121719,606,606
1500122682,598,598
1500123699,594,594
1500124602,584,584
1500125570,568,568
1500126517,550,550
1500127480,546,546
1500128442,537,537
1500129404,531,531
1500130360,525,525
1500131291,520,520
1500132532,520,520
1500133463,521,521
1500134525,520,520
1500135630,522,522
1500136584,512,512
1500137543,507,507
1500138510,506,506
1500139464,499,499
1500140424,500,500
1500141400,492,492
1500142351,493,493
1500143301,495,495
1500144269,499,499
1500145249,492,492
1500146180,491,491
1500147144,487,487
1500148116,481,481
1500149074,480,480
1500150025,476,476
1500151006,479,479
1500151949,467,467
1500152901,466,466
1500153861,459,459
1500154824,455,455
1500155792,453,453
1500156756,454,454
1500157702,454,454
1500158664,457,457
1500159707,451,451
1500160829,455,455
1500162293,459,459
1500163360,451,451
1500164434,450,450
1500165387,456,456
1500166352,451,451
1500167321,453,453
1500168317,454,454
1500169242,455,455
1500170184,456,456
1500171171,461,461
1500172106,466,466
1500173066,465,465
1500174122,461,461
1500175229,458,458
1500176170,452,452
1500177136,439,439
1500178103,438,438
1500179053,431,431
1500180040,432,432
1500180998,433,433
1500181961,435,435
1500182899,431,431
1500184044,435,435
1500185069,437,437
1500186037,430,430
1500187002,431,431
1500187950,432,432
1500188894,432,432
1500189864,433,433
1500190832,429,429
1500191784,427,427
1500192758,425,425
1500193711,437,437
1500194665,438,438
1500195704,437,437
1500196824,437,437
1500197779,436,436
1500198738,437,437
1500199716,440,440
1500200684,439,439
1500201634,438,438
1500202591,433,433
1500203554,437,437
1500204506,436,436
1500205473,436,436
1500206525,444,444
1500207637,440,440
1500208605,437,437
1500209549,441,441
1500210525,446,446
1500211466,450,450
1500212427,448,448
1500213389,453,453
1500214352,455,455
1500215309,452,452
1500216269,448,448
1500217279,443,443
1500218201,438,438
1500219157,436,436
1500220116,430,430
1500221072,428,428
1500222040,429,429
1500222984,429,429
1500223952,429,429
1500224906,431,431
1500225854,417,417
1500226833,396,396
1500227794,388,388
1500228749,388,388
1500229703,393,393
1500230674,391,391
1500231689,390,390
1500232591,389,389
1500233554,384,384
1500234513,390,390
1500235471,388,388
1500236450,388,388
1500237399,383,383
1500238343,380,380
1500239321,379,379
1500240273,384,384
1500241225,387,387
1500242496,383,383
1500243649,376,376
1500244594,377,377
1500245554,382,382
1500246506,383,383
1500247472,384,384
1500248430,385,385
1500249392,391,391
1500250361,385,385
1500251304,389,389
1500252280,398,398
1500253316,396,396
1500254430,402,402
1500255390,403,403
1500256350,410,410
1500257329,412,412
1500258274,415,415
1500259231,417,417
1500260201,419,419
1500261152,420,420
1500262112,436,436
1500263072,435,435
1500264080,440,440
1500265003,444,444
1500265955,451,451
1500266917,453,453
1500267875,454,454
1500268843,453,453
1500269783,452,452
1500270762,454,454
1500271701,454,454
1500272656,455,455
1500273628,455,455
1500274603,454,454
1500275550,453,453
1500276516,458,458
1500277471,456,456
1500278498,457,457
1500279632,446,446
1500280581,447,447
1500281550,447,447
1500282520,450,450
1500283461,446,446
1500284434,444,444
1500285391,445,445
1500286359,446,446
1500287302,450,450
1500288273,460,460
1500289297,458,458
1500290425,452,452
1500291384,452,452
1500292361,457,457
1500293321,451,451
1500294267,454,454
1500295268,455,455
1500296189,460,460
1500297146,462,462
1500298112,467,467
1500299059,467,467
1500300105,471,471
1500301237,486,486
1500302184,489,489
1500303151,493,493
1500304118,495,495
1500305065,501,501
1500306027,502,502
1500307002,501,501
1500307952,501,501
1500308911,499,499
1500309872,504,504
1500310903,508,508
1500312027,513,513
1500312980,514,514
1500313945,511,511
1500315168,508,508
1500316115,505,505
1500317074,506,506
1500318105,506,506
1500319230,511,511
1500320179,516,516
1500321148,507,507
1500322101,508,508
1500323049,505,505
1500324011,503,503
1500324979,504,504
1500325954,511,511
1500326911,518,518
1500327864,523,523
1500328903,543,543
1500330226,555,555
1500331226,563,563
1500332190,577,577
1500333169,581,581
1500334105,590,590
1500335071,590,590
1500336086,607,607
1500337002,610,610
1500337951,613,613
1500338932,620,620
1500339873,627,627
1500340830,636,636
1500341801,641,641
1500342742,639,639
1500343700,640,640
1500344660,650,650
1500345637,650,650
1500346589,663,663
1500347569,668,668
1500348506,665,665
1500349464,667,667
1500350473,671,671
1500351384,674,674
1500352357,675,675
1500353314,684,684
1500354288,686,686
1500355236,697,697
1500356198,700,700
1500357152,704,704
1500358116,708,708
1500359062,708,708
1500360047,713,713
1500360981,722,722
1500361965,720,720
1500362909,721,721
1500363873,729,729
1500364888,735,735
1500366034,746,746
1500366985,744,744
1500367952,742,742
1500368903,746,746
1500369855,754,754
1500370817,755,755
1500371790,751,751
1500372744,760,760
1500373707,757,757
1500374669,766,766
1500375681,763,763
1500376847,758,758
1500377794,768,768
1500378742,766,766
1500379700,756,756
1500380654,762,762
1500381632,764,764
1500382595,768,768
1500383549,766,766
1500384516,770,770
1500385463,771,771
1500386503,780,780
1500387614,778,778
1500388589,781,781
1500389542,778,778
1500390490,778,778
1500391468,776,776
1500392433,777,777
1500393389,769,769
1500394359,769,769
1500395305,759,759
1500396260,753,753
1500397328,744,744
1500398430,738,738
1500399380,737,737
1500400338,727,727
1500401290,721,721
1500402283,700,700
1500403261,701,701
1500404182,699,699
1500405166,694,694
1500406104,693,693
1500407077,692,692
1500408116,701,701
1500409229,709,709
1500410184,712,712
1500411151,714,714
1500412108,696,696
1500413063,700,700
1500414046,697,697
1500414988,699,699
1500415948,691,691
1500416919,680,680
1500417860,684,684
1500418911,670,670
1500420040,674,674
1500421006,679,679
1500421943,684,684
1500422937,685,685
1500423859,694,694
1500424827,706,706
1500425805,702,702
1500426759,708,708
1500427708,717,717
1500428681,719,719
